id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
278,1986.02.02,LIBRO,Bernardino Mei,Sette dipinti,Fabio Bisogni,,Firenze,Ed. S.P.E.S.,Banca Monte dei Paschi di Siena,Collezione Chigi Saracini ; 002,1987,22 p. : ill. ; 30 cm,759.558,Bernardino Mei  - Collezione d'arte Monte dei Paschi di Siena,
279,1987.04,LIBRO,Bernardino Mei,E la pittura barocca a Siena,Bisogni Fabio,Ciampolini Marco,Firenze,Ed. S.P.E.S.,,,1987,"245 p. , [22] c. d tav. ; ill. ; 29cm",759.5581,Bernardino Mei - Collezione d'arte Chigi Saracini - Pittura barocca - Arte,"Parte della serie ""Collezione Chigi Saracini"""
1840,2014.24,LIBRO,Bibliotheca selecta,"manoscritti, incunaboli, disegni e stampe della Biblioteca comunale degli Intronati",[a cura di Annalisa Pezzo],,Siena,Biblioteca comunale degli Intronati,,,2014,78 p. : ill. ; 24 cm,090.7445581,Biblioteca Comunale degli Intronati - Cataloghi,
558,1982.08,LIBRO,Senesi da ricordare,Brevi cenni sulla biografia e le opere dei principlai personaggi storici senesi dalle origini ai nostri giorni,Marco Falorni,,Siena,Edizioni Periccioli di C. Bruno,,,1982,386 p. : ill. ; 24 cm,920.02,Biografie - Siena - Personaggi,
1501,1959.03,LIBRO,Vita eroica di Blaise de Monlcuc,Maresciallo di Francia difensore di Siena,Arrigo Pecchioli,,Roma,Tip. Italstampa,a cura dell’Associazione fra senesi e grossetani,,1959,30 p. ; 23 cm,945.581,Blaise di Monluc,
1513,2015.10,LIBRO,Brandano,un romito senese del Cinquecento fra storia e leggenda,[a cura di Mario De Gregorio ... [et al.],,Torrita di Siena,Società bibliografica toscana,,,2015,191 p. : ill. ; 24 cm,945.582,Brandano,Volume staqmpato nell' ambito delle iniziative per siena capitale italiana della cultura 2015
951,1995.12,LIBRO,Bruno Marzi,con l'inedito Diario dell'anima (1928-1932),"Marilena Caciorgna , Marco Pierini (a cura di)",,Siena,Edizioni Il Leccio,,Artisti a Siena nell'Ottocento e Novecento,1995,249 p. : ill. ; 33 cm,759.2,Bruno Marzi - Esposizioni,Supl. A : La Nazione. Testo a schede mobili.
1598,1991.29,LIBRO,Liturgia e storia della chiesa di Siena nel 12. secolo,i calendari medioevali della Chiesa senese,Mino Marchetti,,Roccastrada,Editrice Il mio amico,,Testi e documenti ; 0001,1991,"240 p., [12] c. di tav. : ill. ; 29 cm",264.021,Calendari religiosi,
139,2006.04,LIBRO,Le campane di Siena nella storia della città,,Sauro Cantini,,Siena,Edizioni Cantagalli,Opera della Metropolitana di Siena,,2006,118 p. : ill. ; 31 cm,726.5970945581,Campane - Siena,Dedicato ai compagni ed amici del Liceo Ginnasio Enea Silvio Piccolomini
1311,1988.14,LIBRO,Siena,I canti del popolo,Remigio De Cristofaro,,Siena,Edizioni Cantagalli,,,1988,354 p. : ill. ; 31 cm,398.80945581,Canti popolari,
708,CON.IST.XXXX.01,PUBBLICAZIONE_DI_CONTRADA,I Canti di Siena,,Fabio Broggi,Contrada Sovrana dell'Istrice,Siena,,,,,[16] p. ; 21 cm,398.80945581,Canti popolari,"In copertina Bozzetto della bandiera spiegata il 16 Agosto 1831
La pubblicazione è un ricordo offerto dalla Contrada del Leocorno in occasione dell'inaugurazione della sede."
453,CON.OCA.1995.01,PUBBLICAZIONE_DI_CONTRADA,Canzoni Senesi (per non dimenticare),,Gruppo Donatori di Sangue e Midollo osseo della Nobile Contrada dell'Oca,,Siena,,,,1995,v. ; 24 cm,784.1,Canti popolari,Volume edito in occasione della inaugurazione del nuovo museo settembre 1995
227,2006.13,LIBRO,Raccolta di canzoni Senesi,,Fabio Broggi,,Siena,,,,2006,1 vol . ; 29 cm,784.1,Canti Popolari - Stornelli,Con il Patrocinio della Fondazione Monte dei Paschi di Siena.
1430,1899.02,LIBRO,Comitato per le onoranze a Carlo Corradino Chigi,discorso pronunziato all’atto della inaugurazione della lapide / dall’illmo. sig. cav. avv. Remigio Bartalini. Resoconto morale / esposto dal consigliere Bernardino Querci,,,Siena,Tip. E Lit. Sordo-muti di L. Lazzeri,,,1899,19 p. ; 25 cm,,Carlo Corradini Chigi,
1664,1899.03,LIBRO,Ricordi militari del contr’ammiraglio senatore Carlo Corradino Chigi,(Tripoli 1825 - Curtatone 1848),Francesco Piccolomini Bandini,,Siena,Tip. E Lit. Sordo-Muti di L. Lazzeri,,,1899,"43 p., [2] c. di tav. : ritr. ; 25 cm",,Carlo Corradino Chigi,Ed. di 400 esempl.
984,1949.03,LIBRO,Carlo Corradino Chigi,MDCCCXLVIII - MCMXLVIII,Guido Pignotti,,Siena,Arti Grafiche Ticci,,,1949,"VII, 222, [50] p., [25] c. di tav. : ill. ; 25 cm",945.08092,Carlo Corrardino Chigi,"Err.-corr. alleg.
	Pubbl. edita in occasione delle celebrazioni per il centenario delle battaglie di Montanara e Curtatone del 1848. 
Ed. di 300 esempl. num. 70
Contiene: Appendice di documenti, p. [225-270]"
1841,2015.18,LIBRO,Ottanta Finiti,autobiografia non autorizzata di un fresco ottuagenario,Mauro Civai,,,,,,2015,63 p. : ill. ; 20 cm,8589203,Carlo Fini,
1522,1991.25,LIBRO,Carlo Nepi e Mario R. Terrosi in mostra,allestimenti e progetti di spazi espositivi [1977-1990],,,Siena,Scuola di lingua e cultura italiana per stranieri,,,1991,63 p. : ill. ; 21 cm,725.9102224558,Carlo Nepi - Mario Terrosi - Esposizioni,Catalogo della Mostra tenuta a Siena tra il 19-30 aprile 1991
1523,2003.18,LIBRO,Il territorio senese nella cartografia antica,"le carte geografiche della Toscana meridionale dalle prime rappresentazioni ""misurate"" del Rinascimento alle elaborazioni della geodesia post illuminista",Ettore Pellegrini,con un saggio di Renato Lugarini su Girolamo Bellarmati e con il Repertorio della carte a stampa pubblicate tra il 1558 e il 1844,Siena,Protagon Editori Toscani,,,2002,"173 p., [2] p. di tav. : in gran part ill. ; 34 cm",912.4558,Cartografia - Toscana meridionale,
1520,1950.06,LIBRO,Il palazzo dell’INA nel Castellare dei Malavolti,,Zita Pepi,,Siena,a cura dell’Agenzia generale dell’Istituto nazionale delle assicurazioni e le assicurazioni d’Italia,,,1950,20 p. : ill. ; 25 cm,728.820945581,Castellare dei Malavolti,Non si conosce la data di pubblicazione del volume
1734,1985.16,LIBRO,I Castelli del Senese,Strutture fortificate dell'area senese-grossetana,,,Milano,Electa Editrice,Monte dei Paschi di Siena,,1985,423 p. : ill. (some col.) ; 32 cm,728.81094558,Castelli - Siena - Territorio,Ristampa del volume del 1976
735,1976.05,LIBRO,I Castelli del Senese: strutture fortificate nell'area senese-grossetana,,"Carlo Perogalli, Sergio Anelli",,Siena,"Siena, Monte dei Paschi di Siena",Monte dei Paschi di Siena,,1976,2 v. (431 p. compless.) : in gran parte ill. ; 32 cm,728.81094558,Castelli - Siena - Territorio - Fortificazioni - Grosseto,1 di 2 volumi
1641,1926.04,LIBRO,I castelli della Val d’Orcia e la Repubblica di Siena,,Arnaldo Verdiani-Bandi,,Siena,Tipografia Editrice O. Turbanti,,,1926,"360 p., 22 c. di tav., 1 c. geogr. ; 24 cm",945.58,Castelli della Val d'Orcia - Storia,
251,1876.01,LIBRO,Descrizione delle Pitture a Fresco eseguite in una cappella della cattedrale di Prato dal Cav. Alessandro Franchi pratese,,,Guasti Cesare,Prato,R. Guasti editore - libraio,,,1876,21 p. ; 23 cm,,Cattedrale di Prato - Alessandro Franchi - Arte,
1842,1997.21,LIBRO,Les chavaliers de Saint-Jean de Jerusalem ed Provence Rhodanienne,,Joseph Barruol ,"Marie-Rose Bonnet , Christine Feuillas , Hervè Aliquot , Francois Maurice , Chantal de Saint Priest d'Urgel",Avignon,Les Amis du Palais du Roure,,,1997,159 p. : ill. ; 24 cm,,Cavalieri di Malta,"Catalogo della mostra delle opere dell'artista Sandro Chia esposta presso il Palazzo Pubblico di Siena nel 1997. Si segnala a pag. 105 un intervento di Mauro Civai sul ""Cavallo della Lizza"" donato alla Contrada Sovrana dell'Istrice. Libro donato alla Contrada da Alessandro Amidei."
1611,1979.10,LIBRO,I Tesio,come li ho conosciuti,Mario Incisa della Rocchetta,,Milano,Longanesi & C.,,Vaira 32,1979,156 p. : ill. ; 22 cm,927.96,Cavalli,"Nel museo di Contrada è presente il dono che la signoira Lydia Tesio fece al maniscalco pisano Parola che ferrò Ribot in occasione della prima vittoria a Longchamp dell'arco di Trionfo. Il dono è stato regalato alla Contrada dal figlio Riccardo Parola, per molti anni maniscalco ufficiale della Contrada dell'Istrice. Il padre, nel 1975, ferrò il cavallo vittorioso Rimini."
1509,1928.06,LIBRO,Il canzoniere,Il Canzoniere,Cecco Angiolieri,[introduzione e commento di Carlo Steiner],Torino,Unione tipografico-editrice torinese,,Collezione di classici italiani con note ; VI,1928,"xxviii, 164 p., [1] c. di tav. ; 19 cm",,Cecco Angiolieri,
1533,LIT.1794.1,LIBRI_DELLA_LITURGIA,Ritus Servandi et litaniae ac preces cantandae; In ecclesiis civitatis senensis; In quibus per tres dies habetur oratio; Quadriginta horarum; A feria IV cinerum usque ad feriam II Paschae; Collegit digessitque senensis sacerdos,,Rossi Francesco,,Siena,Franciscus Rossi civitatis et archiepiscopi typographus,,,1794,"62 p. ; 18,5 cm",945.5083092,Celebrazioni - Collegio Sacerdotale,Testo della Chiesa di S. Stefano alla Lizza
1175,1996.11,LIBRO,Ceramica Chigiana a San Quirico,Una manifattura settecentesca in Val d'Orcia,"Margherita Anselmi Zondadari, Giuseppe Cantelli, Gianni Mazzoni","Rossana Traldi, Fabrizio Noli",Cortona,Editoriale Donchisciotte,"Comune di San Quirico d'Orcia, Soprintendenza per i beni artistici e storici  per le provincie di Siena e Grosseto, Pro Loco di San Quirico  D' Orcia",97 p. :  ill. ; 33 cm,1996,,738.307445582,Ceramiche,"I disegni sono di Emilio Giannelli.
La copia è un omaggio della Contrada del Drago e della Società di Camporegio in occasione del Convivio del Comitato Amici del Palio del 04 Aprile 2014"
1174,2015.04,LIBRO,Importanti maioliche rinascimentali,,Remo Rega,,Firenze,Grafiche Cappelli,,,2015,315 p. : ill. ; 30 cm,759.3,Ceramiche,A pag. 106 un approfondimento di Orlando Pacchiani sulla storia del Circolo Il Leone
339,2012.05,LIBRO,La Ceramica a Siena: Dalle origini all'Ottocento,,Margherita Anselmi Zondadari e Paolo Torriti,,Colle Val d'Elsa (SI),Salvietti & Barabuffi Editori,Fondazione Monte dei Paschi di Siena,Itinerari e proposte 18,2012,302 p. : ill. ; 30 cm,738.3094558,Ceramiche,
1173,2009.10,LIBRO,Asta 5 -6 ottobre 2009,"Arredi, dipinti, ceramiche, argenti e oggetti d'arte provenienti da casa Pasquali Da Cepperello, Gamba Ghiselli ed altre importanti collezioni private",Remo Rega,,Firenze,Pandolfini Casa d'Aste,,,2009,223 p. : ill. ; 27 cm,759.3,Ceramiche - Arte,
1559,CON.NIC.2015.04,PUBBLICAZIONE_DI_CONTRADA,Figurine di Coccio,C'era mica Emilio Giannelli?,Nobile Contrada del Nicchio Arte dei Vasai,,Siena,Nobile Contrada del Nicchio,,,2015,1 v. : ill. ; 21 cm,738.30945581,Ceramiche - Esposizioni,
993,1980.12,LIBRO,La ceramica della Fortezza Medicea di Grosseto,,"Riccardo Francovich, Sauro Gelichi (a cura di)",,Roma,De Luca Editore,,,1980,169 p. [4] c. di tav. ill. ; 23 cm,738,Ceramiche - Esposizioni,"Catalogo della mostra allestita presso la Fortezza Medicea di Grosseto, 3 maggio - 30 settembre 1980"
142,1983.02,LIBRO,Antiche ceramiche murali in Siena,"Mostra fotografica organizzata dall'Istituto d'Arte ""Duccio di Boninsegna"" di siena con il patrocinio del Comune di Siena",Ezio Pollai,Rossana Traldi,Siena,"Industria grafica Pistolesi ""Editrice il Leccio"" 1983",,,1983,71 p. : in gran parte ill. ; 23 cm,738.30945581,Ceramiche - Esposizioni,Catalogo della mostra fotografica ; Stemma della contrada Sovrana dell'Istrice a pagina 24.
1843,CON.BRU.2017.01,PUBBLICAZIONE_DI_CONTRADA,Le Ceramiche della Nobil Contrada del Bruco,Tra Frammenti e ricordi. - Nel cinquantesimo anniversario della realizzazione della sala Consiliare 1967/2017,Nobil Contrada del Bruco,"Luca Andreini, Giovanni Maccherini",Siena,Nuova Immagine,,,2017,92 p. : ill. ; 22 x 22 cm,738.3094558,Ceramiche - Siena,Sul frontespizio: Nel cinquantesimo anniversario della realizzazione della sala consiliare 1967-2017
1844,2013.11,LIBRO,Cartusiae prope Senas,le Certose in terra di Siena,"Otello Mancini, Antonio Vannini ",con un saggio di Vincenzo De Gennaro,Siena,Editrice Betti s.r.l.,,,2013,223 p. : ill. ; 25 cm,726.7094558,Certose - Provincia di Siena,"Fa parte della serie ""Protagonisti e Momenti"". Con il patrocinio della Fondazione MPS di Siena."
179,2007.08,LIBRO,Lungo il cammino,Cesare Brandi 1933-1943,Maria Ilda Catalano,,Siena,Protagon Editori Siena,,,2007,"182 p., [6] p. d tav. : ill. ; 24 cm",709.2,Cesare Brandi,"Con dedica dell'autrice ""All'Istrice, la mia contrada, con amore, Giulia Vivi""."
1794,2007.27,LIBRO,Il gusto della vita e dell’arte [Musica a stampa],lettere a Cesare Brandi,di Afro … [et al.] / a cura di Vittorio Rubiu Brandi,,Siena,Gli ori,,Corrispondenze ; 0002,2007,335 p. : ill. ; 23 cm,709.2,Cesare Brandi,
84,1912.01,LIBRO,Onoranze a Cesare Gazzani,,R. università degli Studi di Siena,Barduzzi Domenico,Siena,Tip. e Lit. Sordomuti - Ditta L. Lazzeri,,,1912,39 p.; 20 cm,,Cesare Gazzani,Libro donato alla Contrada da Alessandro Amidei
350,1998.05,LIBRO,Cartoni di Cesare Maccari,Per gli affreschi nel Palazzo Pubblico di Siena,Alberto Olivetti (a cura di),"Gianni Mazzoni, Marco Pierini, Ilaria Porciani, (foto di Andrea e Fabio Lensini)",Cinisiello Balsamo (MI),Amilcare Pizzi,Banca Monte dei Paschi di Siena,,1998,380 p. : ill. ; 32 cm,759.5,Cesare Maccari - Esposizioni - Arte,
132,2009.07,LIBRO,Chiba Sho - with the Wind of Toscana,,Iwate Museum of Art,,,Kawaguchi Industrial Printing Corporation,,,2009,108 p. ; 30 cm,709.04,Chiba Sho,Copia Anastatica del libro pubblicato nel 1846
1648,1940.04,LIBRO,La Chiesa di S. Cristoforo in Siena,,Padre Enrico Bulletti,,Siena,Tip. Ex Cooperativa,,,1940,48 p. : ill. ; 18 cm,282.455363,Chiesa di S. Cristoforo,
1566,1901.04,LIBRO,Il San Giovanni di Siena e i suoi restauri diretti da Agenore Socini,,Vittorio Lusini,,Firenze,Fratelli Alinari Editori,,,1901,"118 p., [4] c. di tav. : ill. ; 24 cm",726.50945581,Chiesa di San Giovanni Battista,
500,1908.01,LIBRO,S. Maria in Portico a Fontegiusta,,Alberto Marelli,,Siena,Tipografia Pontificia S. Bernardino,,,1908,65 p. : ill. ; 23 cm,726.5094558,Chiesa di Santa Maria in Portico a Fontegiusta,
1845,1921.04,LIBRO,I Chigi,,,,Siena,Stabilimento arti grafiche san Bernardino poi: Stab. arti grafiche Lazzeri,,,1921-1928,2 v. : ill. ; 33 cm,945.58,Chigi ,
301,1998.04,LIBRO,La collezione Chigi Saracini,,Bruno Santi,,Calenzano,Scala istituto fotografico editoria spa,,,1998,80 p . : ill. ; 24 cm,708.5581,Chigi Saracini,
732,1967.05,LIBRO,Il Palazzo e la collezione Chigi Saracini,,Mario Salmi,,Siena,Monte dei Paschi di  Siena,Monte dei Paschi di Siena,,1967,315 p. : in gran parte ill. ; 31 cm,708.558,Chigi Saracini - Arte,
1102,2015.03,LIBRO,Ricordanze,Il Conte Guido Chigi Saracini e le arti,Bonelli Laura [a cura di],,Siena,Accademia Musicale Chigiana,Fondazione Monte dei Paschi di Siena,,2015,47 p. : ill. ; 24 cm,780.94558,Chigi Saracini Guido - Catalogo - Esposizioni,
566,1997.16,LIBRO,Il cinema e Siena,"la storia, i protagonisti, le opere",Simone Petricci,"Fernando Di Giammatteo , Sergio Micheli",Firenze,Manent,,personaggi ed interpreti,1997,"XII, 282 p. : ill. ; 22 cm",791.43094558,Cinema - Siena,
112,2010.10,LIBRO,Miti di Città,Bari Bologna Fienze Genova Mantova Milano Napoli Padova Palermo Roma Siena Siracusa Torino e Asti Treviso Venezia Verona,Maurizio Bettini ,"Maurizio Boldrini , Omar Calabrese , Gabriella Piccinni",Siena,Salvietti & Barabuffi Editori,Banca Monte dei Paschi di Siena SpA,,2010,444 p. : ill. ; 31 cm,398.23245,Città - Italia - Origini - Miti,
1514,1939.02,LIBRO,"Claudio Tolomei, umanista senese del Cinquecento",la vita e le opere,Luigi Sbaragli,con prefazione di Guido Mazzoni,Siena,Accademia per le arti e le lettere,,Collezione di monografie di storia senese / Accademia per le arti e per le lettere in Siena,1939,"XIII, 216 p., [1] c. di tav. : ill. : 1 ritr. ; 25 cm",850.9003,Claudio Tolomei,
309,2008.05,LIBRO,La Collegiata di Santa Maria in Provenzano,,"Cecilia Alessi , Marco Borgogni , Barbara Tavolari",Vinicio Serino,Sovicille (SI),Arti Grafiche Ticci,Banca Cras,,2008,166 p. : ill. ; 32 cm,726.50945581,Collegiata di Santa Maria in Provenzano ,"Della serie "" Quaderni della Balzana"""
1846,2014.22,LIBRO,Il Travaglio,,Salvestro Cartaio,Testo critico note e commento di Menotti Stanghellini,Siena,Accademia dei Rozzi,,,2014,83 p. ; 24 cm,,Commedia,
547,1950.02,LIBRO,Nerbo Legato,Scene d' ambiente senese,Fernando Giannelli,,Siena,Tipografia Nuova,,,1950,161 p. ; 17 cm,852.914,Commedia - Palio - Siena - Vernacolo,Commedia in vernacolo senese in tre atti.
674,1975.02,LIBRO,Lo zucchino di Baicche,Commedia contradaiola in tre atti,Vasco Bruschelli,,Siena,Tipografia Ancora,,,1975,74 p. : ill. ; 21 cm,852.914,Commedia - Vernacolo, tra
753,1972.04,LIBRO,I Commentari,Pio II (Enea Silvio Piccolomini),Giuseppe Bernetti,,Siena,Cantagalli,,Vol. II,1972,281 p. : ill. ; 18.5 cm,878.4 282.092,Commentari,"Secondo di una catena di libri promossi dall'arcivescovo Mario Castellano per la memoria della Professoressa Maria Anna Bernetti Elisei
traduzioni dai commentari di Pio II; Donati alla contrada dal sig. Cantagalli"
754,1973.01,LIBRO,I Commentari,Pio 2 (Enea Silvio Piccolomini),Giuseppe Bernetti,,Siena,Cantagalli,,Vol. I,1973,232 p. : ill. ; 18.5 cm,878.4 282.092,Commentari,"Primo di una serie di libri promossi dall'arcivescovo Mario Castellano per la memoria della Professoressa Maria Anna Bernetti Elisei
traduzioni dai commentari di Pio II; Donati alla contrada dal sig. Cantagalli"
755,1974.03,LIBRO,I Commentari,Pio 2 (Enea Silvio Piccolomini),Giuseppe Bernetti,,Siena,Cantagalli,,Vol. IV,1974,335 p. : ill. ; 18.5 cm,878.4 282.092,Commentari,"Quarto di una serie di libri promossi dall'arcivescovo Mario Castellano per la memoria della Professoressa Maria Anna Bernetti Elisei
traduzioni dai commentari di Pio II; Donati alla contrada dal sig. Cantagalli"
257,1950.01,LIBRO,L'Oratorio della Venerabil Compagnia di Santa Caterina detta della Notte,,Curia Arcivescovile,Giulio Gori,Siena,Tipografia Ex Cooperativa,,,1950,19 p. : ill. ; 21 cm,271.9004581,Compagnia di Santa Caterina delle Notte -  Oratorio di Santa Caterina da Siena,Iniziativa del fratello della Compagnia Giulio Gori.
1004,1934.03,LIBRO,Il libro dell’entrata e dell’uscita di una compagnia mercantile senese del secolo 13. : 1277-1282,,Guido Astuti,,Torino,S. Lattes & C. Editori,,,1934,563 p. ; 26 cm,346.07,Compagnie mercantili senesi - Sec. 13.,
1847,2010.24,LIBRO,Capolavori e restauri del Comune di Siena e della Fondazione Monte dei Paschi di Siena,,Comune di Siena,,Siena,,Fondazione Monte dei Paschi di Siena,,2010,202 p. : ill. ; 26 cm,709.04,Comune di Siena - Fondazione Monte dei Paschi di Siena - Esposizioni,
1848,2015.17,LIBRO,Gli statuti dei comuni della Repubblica di Siena (secoli 13.-15.),profilo di una cultura comunitaria,Alessandro Dan,,Monteriggioni (SI),Edizioni Il Leccio,,Documenti di storia ; 0111,2015,420 p. ; 24 cm,945.58044,Comuni - Statuti - Siena (Repubblica) - Sec. 13.-15.,
582,1895.01,LIBRO,Conferenze,"nei giorni 16, 23, 30 marzo e 6 aprile 1895","Rossi P., Bacci O., Calisse C., Barduzzi D.",,Siena,Tip. E lit. Sordomuti di L. Lazzeri,Commissione Senese Di Storia Patria nella R. Accademia dei Rozzi,,1895,243 p. ; 19 cm,945.581,Conferenze,La Contrada possiede due copie di cui una rilegata a tutta tela.
1849,2003.25,LIBRO,La Confraternita ritrovata = The rediscovered confraternity,Benvenuto di Giovanni e Girolamo di Benvenuto nello Spedale Vecchio di Siena Benvenuto di Giovanni and Giovanni di Benvenuto in Siena's Spedale Vecchio,Cecilia Alessi ,[traduzione di Susan Scott],Asciano,Ali,,"Quaderni della Soprintendenza per il patrimonio storico, artistico e demoantropologico di Siena e Grosseto ; 0001",2003,127 p. : ill. ; 25 cm,759.5,Confraternite - Arte,
457,1991.04,LIBRO,Compagnie laicali delle città e masse di Siena,(Anche a mente del rescritto Granducale del 26 gennaio 1804),Antonio Zazzeroni,,Siena,Carlo Cambi Editore,,,1991,91 p. : ill. ; 24 cm,248.0604558,Confraternite - Siena,
1016,2004.12,LIBRO,La Misericordia di Siena attraverso i secoli,,"Mario Ascheri, Patrizia Turrini (a cura di)",,Siena,Protagon Editori Toscani,,,2004,605 p. : ill. ; 32 cm,248.06045581,Confraternite - Siena - Arciconfraternita della Misericodia,
1850,2016.09,LIBRO,Le compagnie laicali a Siena ,gli storici legami fra la Confraternita della SS. Trinità e la contrada Valdimontone ,"Giuseppe Catturi, Paolo Piochi",,Siena,Cantagalli,,,2016,"182 p., [4] carte di tav. : ill. ; 24 cm",248.0604558,Confraternite - Siena (territorio) - Sec. 12.-20.,
134,Per.Acc.2001.2,PERIODICO,I Rozzi di Siena 1531 - 2001,,Giuliano Catoni e Mario De Gregorio,"Cècil Fortin, Marco Fioravanti",Siena,Il Leccio Monteriggioni,Accademia Dei Rozzi,,2001,251 p. : ill. ; 33 cm,792.09455581,Congrega dei Rozzi,"In questo numero sono presenti i seguenti articoli:
1) L' Antartide nella politica mondiale
2) L' editoria d' argomento storico a Siena nel nuovo Milllennio. L' importante iniziativa del Gruppo autonomo Stampa Senese
3) A proposito di ricorrenze cinquecentenarie
4) Rozzi e liberi. Un bel libro sulla storia della nostra Accademia dal 1531 a oggi
5) 28 Aprile 1502 - 28 Aprile 2002. Per i cinquecento anni della pubblicazione del primo libro stampato da un cittadino senese
6) Briciole di storia e frammenti di biblioteca. Ascesa e caduta di una ""cittadinanza onoraria""
7) Importanti reperti della Siena romana nelle cantine del palazzo sede dell' Accademia dei Rozzi
8) Tre sonetti di Folgore da San Gimignano e tre di Cenne da la Chitarra. Interpretazioni e congetture"
966,2008.14,LIBRO,Il Cavallo nel Palio di Siena,"Congresso tecnico-scientifico per conoscere il Cavallo da Palio: 28 e 29 Novembre 2008, Santa Maria della Scala, Siena",,,Siena,,,,2008,40 p. : ill. ; 30 cm,636.120945581,Congressi - Siena - Cavalli da corsa - Palio,
148,2005.06,LIBRO,Vittorio Zani,Il mestiere dell'Artista,Balocchi Enzo,"Aldo Ciampoli, Patrizia Turrini, Leonardo Scelfo, Massimo Brutti, Maria Vittoria Ciampoli",Siena,Protagon,,,2005,263 p. : ill. ; 24 cm,730.92,Consorti Vico - Esposizioni,Corredato di brani dell'epistolario privato.
1552,2002.21,LIBRO,Vico Consorti,Scultore 1902-1979,Francesca Petrucci (a cura di),,Siena,Protagon,"Banca Montepaschi di Siena, Contrada del Drago",Quaderni dell’Archivio artisti senesi del Novecento ;N°1,2002,263 p. : ill. ; 24 cm,730.92 (21 ita),"Consorti, Vico - Esposizioni",
619,CON.CHI.1999.01,PUBBLICAZIONE_DI_CONTRADA,Il Palio… un secolo… una Contrada…,,Contrada della Chiocciola,,Siena,Betti Editrice,Contrada della Chiocciola,,1999,74 p. ; 30 cm,094.074,Contada - Chiocciola - Statistiche,
1260,CON.BRU.1906.01,PUBBLICAZIONE_DI_CONTRADA,Brevi notizie sulle vicende storiche della Nobil Contrada del Bruco,omaggio del seggio e dei componenti la medesima agli ill.mi protettori e signori in occasione della festa annuale : 7 luglio 1906,Nobile Contrada del Bruco,,Siena,Tipografia Nuova,,,2006,16 p. ; 24 cm,394.26945581,Contada del Bruco - Storia,Il nome dell’ A. figura a p. 36
1784,CON.SEL.1969.01,PUBBLICAZIONE_DI_CONTRADA,Statuto della Contrada della Selva,,Contrada della Selva,,Siena,Tipografia Periccioli,,,1969,31 p. ; 21 cm,394.26945581,Contada della Selva - Statuti,"Pubblicato in occasione dell’inaugurazione dei restauri della Chiesa di San Sebastiano in Vallepiatta il 15 agosto 1970
Le Foto sono state realizzate dal Gruppo Fotografico Rinoceronte"
659,1992.15,TESI,La Contrada come centro di aggregazione nella realtà senese. Analisi dellla Contrada Sovrana dell'Istrice,,Carlo Botteghi,Prof. De Vita Roberto,Siena,,,,1992,218 p. ; 30 cm,,Contrada,Tesi di laurea
1851,CON.PAN.2018.01,PUBBLICAZIONE_DI_CONTRADA,#donneincontrada,,Contrada della Pantera,,Siena,Contrada della Pantera,,,2018,29 p. : ill. ; 21x30 cm,394.26945581,Contrada ,
1852,CON.CIV.2019.01,PUBBLICAZIONE_DI_CONTRADA,Ad memoriam,,Contrada Priora della Civetta,Carla Bonacci . Silvia Canocchi,Siena,Edizioni Il Leccio,,I quaderni del Castellare ; 001,2019,1089 p. : ill. ; 24 cm,394.26945581,Contrada – Civetta – Guerra Mondiale,
573,CON.OND.1993.01,PUBBLICAZIONE_DI_CONTRADA,Sonetti 1969-1993,,Roggini Gianni,Contrada Capitana dell' Onda,Siena,Arti Grafiche Bazzi,,I Quaderni dell' Onda,1993,32 p. ; 21 cm,851.914,Contrada - Onda - Sonetti - 1969 - 1993 - Quaderni - Quaderni dell' Onda,
697,1946.02,LIBRO,Voci di contrada,Sonetti in vernacolo preceduti da una sintesi storica del Palio,Giannelli Fernando,,Siena,S.A.Poligrafica,,,1946,95 p. ; 25 cm,,Contrada - Siena - Palio - Sonetti - Vernacolo,Donato da Luciano Fini
1853,CON.OCA.2019.01,PUBBLICAZIONE_DI_CONTRADA,1919 - 2019 cento di questi anni,,Nobile Contrada dell'Oca,,Siena,Nobile Contrada dell'Oca,,,2019,111 p. : ill. ; 30 cm,394.26945581,Contrada - Società di contrada,Numero unico della Società G. Dupré edito in occasione della inaugurazione dei nuovi locali sociali il 26 aprile 1981
1164,CON.OND.2011.01,PUBBLICAZIONE_DI_CONTRADA,DI SACRO E DI PROFANO,,Simonetta Losi,,Monteriggioni,Il Leccio,,,2011,146 p. : ill. ; 24 cm,394.26945581,Contrada Capitana dell'Onda,
1223,CON.BRU.2013.03,PUBBLICAZIONE_DI_CONTRADA,La processione della Domenica in Albis,breve storia di un rito di popolo in occasione dell'uscita della Madonna della Disciplina Maggiore di Luca Tommè dall'Oratorio della Nobil Contrada del Bruco,Letizia Galli,,Siena,Nobil Contrada del Bruco,,,2013,23 p. : ill. ; 24 cm,394.,Contrada del Bruco,Catalogo della Mostra tenuta nel Museo della Nobil Contrada del Bruco dal 09 al 19 luglio 2013
554,CON.BRU.1906.01,PUBBLICAZIONE_DI_CONTRADA,Omaggio del seggio,e dei componenti la medesima agli ill.mi Protettori e Signori in occasione della festa annuale,Moretti Assunto,,Siena,Tipografia nuova,Contrada del Bruco,,1906,16 p. ; 24 cm,394.26945581,Contrada del Bruco,
