id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
230,PER.ACC.2006.2,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"Barzanti Roberto, Ascheri Mario, Terziani Riccardo, Cirfi Walton Mirella, Tavolari Barbara, Broggi Cristina, Toti Enrico",Monteriggioni (Si),Industria Grafica Pistolesi,Accademia dei Rozzi,Anno XIII - N° 25   Novembre 2006,2006,64 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono presenti i seguenti articoli: 
1)Menotti Stanghellini e il Teatro della congraga dei Rozzi
2)John Ruskin e Henry James: sguardi su Siena
3)La famiglia Bonci Casuccini e l' archeologia
4)Palazzo Bargagli in Paizza delle Erbe
5)La Natività della Vergine di Bernardino Mei in mostra ad Asciano
6)La veduta di Piazza del Campo in una rarissima stampa di Antonio Tempesta
7)Le memorie storiche del Monte Amiata di Giovanni Antonio Pecci: un moderno progetto di edizione
8)Sulla natura giuridica delle storiche Contrade di Siena
9)Presenza del passato
10)Renaissance Siena: Art for a City. L' arte senese protagonista a Londra
11)Fuori dal coro"
233,PER.ACC.2007.1,RIVISTA,Accademia dei Rozzi,,Accademia dei Rozzi,"Alonge Roberto, Barzanti Roberto, Barbagli Debora, Turrini Patrizia, Roncucci Silvia, Pellegrini Ettore, Monaci Francesca, Coppini riccardo, Colucci Silvia, Fattorini Gabriele",Monteriggioni (Si),Industria Grafica Pistolesi,,,2007,72 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"All'interno si trovano i seguenti articoli:
1) Giovanni Guiso: ricordo di un gentiluomo
2) Salotti di Vittoria e Isabella Colonna
3) Amor di carità e difesa delle ""bocche disutili"" negli ultimi mesi dell' assedio di Siena
4) L' Arcirozzo Giulio Puccioni: Provveditore dell' Ateneo di Siena, giurista e cavaliere ""saldo qual rupe""
5) Note per un itinerario storico sulla facciata del Duomo
6) Il corpus delle Chiese di Siena. Un progetto del Kunsthistorisches Institut in Florenz 
7) Ipotizzato l' autoritratto di Raffaello
8) 1946-1947 Cinema? Mai!
9) I Rozzi di oggi per un Rozzo del Cinquecento"
234,PER.ACC.2008.1,RIVISTA,Accademia dei Rozzi,,Accademia dei Rozzi,"Sallay Dora, Cuda Maria Teresa, Violante Nicoletta, Orioli Maria Maddalena, Stanghellini Menotti, Boisseuil Didier, Monaci Francesca, Rovida Maria Antonietta, Quast Matthias, Bonelli Ligabue Rilli, Bonelli Rosanna",Monteriggioni (Si),Industria Grafica Pistolesi,,,2008,83 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono pubblicati i seguenti articoli:
1) Gli strumenti musicali nella maestà di Ambrogio Lorenzetti a Massa Marittima
2) Pio II e la forza di un'idea
3) L'idea di crociata in Sebasatian Brant ed Erasmo da Rotterdam
4) Montalcino: la storia in rosa
5) L'Arcirozzo Luciano Banchi: impegno civile e politico di una vita troppo breve (1837-1887)
6) Tradizione ludica e innovazione: qualche spunto tra Siena e Ascoli Piceno
7) Un'ipotesi innovativa sui palazzi di Giacoppo e Pandolfo Petrucci e di Antonio Bichi
8) La villa di Santa Colomba presso Siena. Metodo di ricerca, obiettivi e questioni aperte
9) La banca dati delle facciate del centro storico di Siena. Note sui palazzi del Terzo di Città
10) Un nuovo successo della compagnia dei Rozzi. La recita di Cilombrino rivisitato da Menotti Stanghellini"
1322,1921.03,LIBRO,Dante e Siena,,[testi di: Pietro Rossi …[et al.],[con illustrazioni di Arturo Viligiardi],Siena,Tipografia Lazzeri,,,1921,"VIII, 459 p., [53]c. di tav., di cui 1 ripieg. e 18 montate sul testo : ill., 1 c. topogr. ; 31 cm",851.1,Siena - Dante Alighieri,"Il testo venne stampato a cura del Comune di Siena in occasione del sesto centenario della morte di Dante Alighieri.
All'interno vi sono anche studi ed approfondimenti sulla città di Siena."
184,2007.11,LIBRO,Soggiorni senesi,tra mito e memoria,Roberto Barzanti e Attilio Brilli,,Cinisello Balsamo (MI),Silvana Editoriale,Banca Monte dei Paschi di Siena,,2007,"509 p. : Ill. , 31cm",914.55804,Siena - Descrizioni e viaggi,Con disegni di Riccardo Manganelli
1478,1986.15,LIBRO,Viaggiatori stranieri in terra di Siena,,Attilio Brilli,,Roma,De Luca Editore s.r.l.,Monte dei paschi di Siena,,1986,"331 p., [120] p. di tav. : ill. ; 33 cm",914.55804,Siena - Descrizioni e viaggi,
255,1902.01,LIBRO,Siena Una Città del Trecento,,G. B. Prunai,,Firenze,F. Lumachi Editore,,,1902,115 p. : ill. ; 20 cm,945.581,Siena - Descrizioni e viaggi,"La Contrada possiede due copie di questo volume, delle quali una è rilegata a tutta tela"
1341,1997.19,LIBRO,Siena una regina gotica,L'occhio del viaggiatore 1870-1935,[a cura di Attilio Brilli],,Città di Castello,Banca Popolare dell'Etruria e del Lazio,,166 p. : ill. ; 23 cm,1997,,914.558104,Siena - Descrizioni e viaggi,"N° 1 della collana ""Quaderni dell' Opera"""
88,2005.01,LIBRO,Panforte di Siena,,William Dean Howells,,Pisa,Pacini Editore,Comune di Siena,Siena fuori di Siena,2005,86 p.: ill. ; 19 cm,914.558104,Siena - Descrizioni e viaggi,Catalogo della mostra omonima presso la Pinacoteca nazionale Aprile - Giugno 2005
53,2006.01,LIBRO,Ecce Dea,L'amata Siena,Andrè Suares,,Pisa,Pacini Editore,Comune di Siena,Siena fuori di Siena,2006,223 p. ; 19 cm,914.55804915,Siena - Descrizioni e viaggi,Estr. da: Annali di storia delle Università italiane
89,2006.02,LIBRO,Viaggio a Siena,,Edward Hutton,,Pisa,Pacini Editore,Comune di Siena,Siena fuori di Siena,2006,173 p.: ill; 19 cm,914.558104,Siena - Descrizioni e viaggi,
115,2008.04,LIBRO,Siena,,Herbert Zbigniew,,Roma,Ok Print srl,Comune di Siena,,2008,61 p. ; 21 cm,914.558104,Siena - Descrizioni e Viaggi,
525,1999.10,,Siena,Intra-Muros,Bompais Guy,,Siena,Betti Editrice,,,1999,71 p. : ill. ; 22 cm,945.5810929,Siena - Documenti fotografici,"tre volumi: 1- ambiente urbano- 1999, 2- ambiente rurale-2000, 3-ambiente naturale-2001"
389,1978.02,LIBRO,Ottavo centenario della dedicazione della Cattedrale,,,,Siena,Cantagalli,,,1978,35 p. : ill. ; 22 cm,726.60945581,Siena - Duomo,"Contiene : Lettera pastorale dell' Arcivescovo, appunti sulla storia della Cattedrale, atto di donazione di Siena del 1944, programma dell'anno della Cattedrale"
534,1979.03,LIBRO,Il Duomo di Siena,,Enzo Carli,,Genova,Sagep Editrice,Banca Monte dei Paschi di Siena,,1979,"177 p., [145] c. di tav. : ill. ; 30 cm",726.6094558,Siena - Duomo,"Siamo in possesso di due diverse copie, impaginate alla stessa maniera, ma con due copertine differenti.
Una delle due copie è stata donata dal Contradaiolo Paolo Corradeschi."
